 	restType,restCode,restName,menuName,menuPrice,restLoca,restDis
jp,JP_R001,스시스토리,"모듬초밥(10p),우동",10000,경기도 안양시 만안구 장내로 151,1.1
jp,JP_R001,스시스토리,"초새우초밥(10p),우동",9500,경기도 안양시 만안구 장내로 151,1.1
jp,JP_R001,스시스토리,"생새우초밥(10p),우동",10000,경기도 안양시 만안구 장내로 151,1.1
jp,JP_R001,스시스토리,"유부초밥(10p),우동",8500,경기도 안양시 만안구 장내로 151,1.1
jp,JP_R001,스시스토리,"계란초밥(10p),우동",9000,경기도 안양시 만안구 장내로 151,1.1
jp,JP_R001,스시스토리,"연어초밥(10p),우동",16000,경기도 안양시 만안구 장내로 151,1.1
jp,JP_R001,스시스토리,"광어초밥(10p),우동",16000,경기도 안양시 만안구 장내로 151,1.1
jp,JP_R001,스시스토리,"장어초밥(10p),우동",16000,경기도 안양시 만안구 장내로 151,1.1
jp,JP_R002,이찌방 수제돈카츠&라멘,수제카츠,13000,경기도 안양시 만안구 장내로 150 105호,1.1
jp,JP_R002,이찌방 수제돈카츠&라멘,매운돈코츠라멘,12000,경기도 안양시 만안구 장내로 150 105호,1.1
jp,JP_R002,이찌방 수제돈카츠&라멘,마제소바(마제면),11000,경기도 안양시 만안구 장내로 150 105호,1.1
jp,JP_R002,이찌방 수제돈카츠&라멘,규동(소불고기덮밥),12000,경기도 안양시 만안구 장내로 150 105호,1.1
jp,JP_R002,이찌방 수제돈카츠&라멘,나가사키라멘,12000,경기도 안양시 만안구 장내로 150 105호,1.1
jp,JP_R002,이찌방 수제돈카츠&라멘,등심카츠,11000,경기도 안양시 만안구 장내로 150 105호,1.1
jp,JP_R002,이찌방 수제돈카츠&라멘,안심카츠,12000,경기도 안양시 만안구 장내로 150 105호,1.1
jp,JP_R002,이찌방 수제돈카츠&라멘,치즈카츠,12000,경기도 안양시 만안구 장내로 150 105호,1.1
jp,JP_R003,낭만식당 안양일번가점,믹스동,14000,경기 안양시 만안구 장내로 151 1층,1.1
jp,JP_R003,낭만식당 안양일번가점,마제면,11000,경기 안양시 만안구 장내로 151 1층,1.1
jp,JP_R003,낭만식당 안양일번가점,장어덮밥,15000,경기 안양시 만안구 장내로 151 1층,1.1
jp,JP_R003,낭만식당 안양일번가점,간장새우덮밥,11000,경기 안양시 만안구 장내로 151 1층,1.1
jp,JP_R003,낭만식당 안양일번가점,사케동,13000,경기 안양시 만안구 장내로 151 1층,1.1
jp,JP_R004,저스트텐동 안양일번가점,스페셜 텐동,16900,경기 안양시 만안구 안양로314번길 10,1.1
jp,JP_R004,저스트텐동 안양일번가점,연어 텐동,16900,경기 안양시 만안구 안양로314번길 10,1.1
jp,JP_R004,저스트텐동 안양일번가점,야끼토리 텐동,14900,경기 안양시 만안구 안양로314번길 10,1.1
jp,JP_R004,저스트텐동 안양일번가점,빅토리 텐동,15900,경기 안양시 만안구 안양로314번길 10,1.1
